Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1741623831,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741623832,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741623833,200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741623834,300,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741623835,400,,Aggregated,0.000000,0.000000,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,1,0,3680.42080000032,3680.42080000032,3680.42080000032,3680.42080000032,237317.0
1741623836,500,,Aggregated,0.000000,0.000000,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,1,0,3680.42080000032,3680.42080000032,3680.42080000032,3680.42080000032,237317.0
1741623837,600,,Aggregated,0.000000,0.000000,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,1,0,3680.42080000032,3680.42080000032,3680.42080000032,3680.42080000032,237317.0
1741623838,700,,Aggregated,0.200000,0.000000,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,2,0,3700.0,5152.381750000586,3680.42080000032,6624.342700000852,238146.5
1741623839,800,,Aggregated,0.166667,0.000000,7000,7200,7200,7500,7500,7500,7500,7500,7500,7500,7500,5,0,7000.0,6401.9927400004235,3680.42080000032,7488.6429999996835,243317.6
1741623841,900,,Aggregated,0.142857,0.000000,7200,7200,7500,7500,8100,8100,8100,8100,8100,8100,8100,6,0,7000.0,6686.083000000356,3680.42080000032,8106.534300000021,245549.16666666666
1741623842,1100,,Aggregated,0.555556,0.000000,7200,7500,8100,8100,10000,10000,10000,10000,10000,10000,10000,7,0,7200.0,7153.628085714575,3680.42080000032,9958.898599999884,244610.14285714287
1741623843,1200,,Aggregated,0.555556,0.000000,7500,8100,10000,10000,10000,10000,10000,10000,10000,10000,10000,8,0,7200.0,7521.575125000254,3680.42080000032,10097.20440000001,242346.125
1741623844,1300,,Aggregated,0.600000,0.000000,8100,10000,10000,12000,12000,12000,12000,12000,12000,12000,12000,10,0,7500.0,8357.146430000194,3680.42080000032,11866.856100000405,240429.9
1741623845,1400,,Aggregated,0.600000,0.000000,8100,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000,11,0,8100.0,8702.718481818341,3680.42080000032,12158.438999999817,240544.81818181818
1741623846,1500,,Aggregated,0.600000,0.000000,8100,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000,11,0,8100.0,8702.718481818341,3680.42080000032,12158.438999999817,240544.81818181818
1741623847,1600,,Aggregated,1.000000,0.000000,10000,12000,12000,12000,14000,15000,15000,15000,15000,15000,15000,13,0,10000.0,9549.130030769378,3680.42080000032,14826.05550000062,240953.0
1741623848,1700,,Aggregated,1.100000,0.000000,10000,12000,12000,14000,15000,16000,16000,16000,16000,16000,16000,14,0,10000.0,9997.255957143028,3680.42080000032,15822.893000000477,241660.35714285713
1741623849,1800,,Aggregated,1.200000,0.000000,7500,10000,12000,12000,15000,16000,16000,16000,16000,16000,16000,22,7,7200.0,7360.795872727356,736.6152999993574,15833.508100000472,165440.36363636365
1741623850,1900,,Aggregated,1.300000,0.000000,980,1300,3700,7500,12000,16000,16000,17000,17000,17000,17000,83,67,980.0,3575.767168674741,94.56820000013977,17100.76620000018,46763.638554216865
1741623851,2000,,Aggregated,1.700000,0.400000,1000,1400,1800,2700,7500,12000,16000,17000,18000,18000,18000,171,155,1000.0,2575.342022222244,78.2734000003984,18412.267900000188,22698.140350877195
1741623852,2100,,Aggregated,6.800000,5.700000,920,1400,1800,2700,8100,12000,17000,19000,19000,19000,19000,284,266,920.0,2527.465752112702,78.2734000003984,19167.01809999995,15318.211267605633
1741623853,2200,,Aggregated,15.700000,14.700000,900,1300,1700,2400,5500,12000,17000,19000,20000,20000,20000,438,418,900.0,2217.9894931507124,76.82130000011966,20378.563200000826,11001.289954337899
1741623854,2300,,Aggregated,27.100000,25.900000,910,1300,1800,2200,5500,12000,17000,19000,22000,22000,22000,593,572,910.0,2179.0982878583654,76.82130000011966,22178.98789999981,8522.807757166947
1741623855,2400,,Aggregated,38.300000,37.200000,860,1300,1800,2100,5600,12000,17000,19000,22000,22000,22000,859,836,860.0,2218.8836519208544,76.82130000011966,22490.350600000056,6425.494761350407
1741623856,2500,,Aggregated,52.500000,51.400000,820,1300,1800,1900,5500,12000,16000,19000,24000,24000,24000,1103,1078,820.0,2119.7300369900363,76.82130000011966,24462.791699999798,5426.087035358114
1741623857,2600,,Aggregated,77.100000,75.900000,650,1300,1800,2000,5600,12000,16000,20000,24000,24000,24000,1455,1429,650.0,2016.8428882474313,76.82130000011966,24462.791699999798,4279.496907216495
1741623858,2700,,Aggregated,98.200000,96.900000,530,1200,1800,2100,5500,12000,16000,20000,26000,26000,26000,1719,1691,530.0,1932.6648785922096,76.82130000011966,25857.531999999992,3893.0116346713207
1741623859,2800,,Aggregated,121.500000,120.200000,470,1200,1800,2200,3700,12000,14000,20000,25000,26000,26000,2062,2033,470.0,1854.2585484481085,76.82130000011966,25857.531999999992,3357.011154219205
1741623861,2900,,Aggregated,173.200000,171.900000,420,1000,1800,2200,3600,10000,14000,21000,27000,29000,29000,2431,2400,420.0,1822.9782705471032,76.82130000011966,28654.18359999967,3043.731386260798
1741623862,3000,,Aggregated,200.200000,198.800000,410,890,1700,2100,3600,9700,13000,20000,27000,29000,29000,2724,2692,410.0,1736.3058215124865,76.82130000011966,28654.18359999967,2804.0701174743026
1741623863,3100,,Aggregated,224.000000,222.500000,420,710,1500,2000,3600,6800,13000,22000,29000,31000,31000,3119,3084,420.0,1688.8324095864084,76.82130000011966,30961.41279999938,2670.8108368066687
1741623864,3200,,Aggregated,243.900000,242.500000,410,610,1300,1800,3600,5800,13000,22000,30000,31000,31000,3557,3520,410.0,1638.4191043576066,76.82130000011966,31184.772200000225,2477.0674725892604
1741623865,3300,,Aggregated,262.500000,261.000000,410,570,1200,1800,3800,5800,13000,22000,30000,31000,31000,3926,3889,410.0,1595.781748318904,76.82130000011966,31184.772200000225,2244.2508914926134
1741623866,3400,,Aggregated,288.500000,286.900000,410,530,940,1600,3700,6000,13000,23000,31000,33000,33000,4384,4345,410.0,1568.8028135036543,76.82130000011966,33481.00750000049,2115.9680656934306
1741623867,3500,,Aggregated,292.500000,291.100000,400,510,880,1600,3900,6400,12000,23000,31000,33000,33000,4757,4717,400.0,1571.687083224727,76.82130000011966,33481.00750000049,2000.290098801766
1741623868,3600,,Aggregated,313.800000,312.400000,400,490,810,1500,3900,6800,12000,24000,31000,35000,35000,5182,5142,400.0,1578.3803791200382,76.82130000011966,34912.473400000636,1836.236974141258
1741623869,3700,,Aggregated,330.300000,329.000000,410,500,820,1400,3900,6900,12000,24000,31000,36000,36000,5454,5413,410.0,1588.442086890365,76.82130000011966,36079.4676000005,1788.4774477447745
1741623870,3800,,Aggregated,343.100000,341.800000,420,570,780,1200,3800,7000,12000,24000,33000,36000,36000,5939,5898,420.0,1572.603498636145,76.82130000011966,36079.4676000005,1642.423977100522
1741623871,3900,,Aggregated,356.800000,355.600000,430,570,760,1000,3600,6900,12000,24000,33000,36000,36000,6332,6290,430.0,1559.9290057170053,76.82130000011966,36079.4676000005,1578.2267845862286
1741623872,4000,,Aggregated,347.200000,346.100000,450,560,700,890,3500,7100,12000,25000,33000,39000,39000,6856,6813,450.0,1551.9341340431813,76.82130000011966,39126.85359999978,1492.4603267211203
1741623874,4100,,Aggregated,366.700000,365.600000,460,550,670,860,3400,7100,12000,24000,35000,42000,42000,7311,7267,460.0,1546.0044310217554,76.82130000011966,41706.840300000295,1432.2642593352482
1741623875,4200,,Aggregated,385.700000,384.800000,460,550,650,840,3300,7300,12000,24000,35000,42000,42000,7719,7675,460.0,1548.4676712138973,76.82130000011966,41706.840300000295,1356.5596579867859
1741623876,4300,,Aggregated,389.100000,388.400000,470,560,680,880,3200,7600,12000,25000,35000,42000,42000,8054,8008,470.0,1561.1315378197257,76.82130000011966,41706.840300000295,1359.0484231437795
1741623877,4400,,Aggregated,397.700000,397.000000,480,600,770,880,3100,7500,13000,25000,36000,45000,45000,8494,8447,480.0,1570.0776573345963,76.82130000011966,44732.46089999975,1316.7826701200847
1741623878,4500,,Aggregated,385.900000,385.100000,500,640,790,870,2900,7200,13000,25000,36000,45000,45000,8971,8924,500.0,1570.7557613309623,76.82130000011966,44732.46089999975,1246.767584438747
