Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1741337519,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741337520,200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741337521,400,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1741337522,600,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1,0,2311.3420000008773,2311.3420000008773,2311.3420000008773,2311.3420000008773,78535.0
1741337523,1000,,Aggregated,0.000000,0.000000,3800,3800,3900,3900,4000,4000,4000,4000,4000,4000,4000,10,0,3600.0,3390.508819997194,2298.891200000071,4007.5176999962423,78472.9
1741337525,1200,,Aggregated,0.250000,0.000000,4000,4400,4400,4400,5000,5100,5100,5100,5100,5100,5100,19,0,4000.0,3918.587310523818,2298.891200000071,5089.892400006647,78450.52631578948
1741337526,1400,,Aggregated,2.000000,0.000000,4400,5200,5400,5600,6100,6200,6200,6200,6200,6200,6200,29,0,4400.0,4540.691389652583,2298.891200000071,6243.875000000116,78443.20689655172
1741337527,1600,,Aggregated,3.000000,0.000000,5100,5700,6100,6200,6500,6600,6900,6900,6900,6900,6900,38,0,5000.0,4940.29013420904,2298.891200000071,6883.75970000925,78436.23684210527
1741337528,1800,,Aggregated,3.714286,0.000000,5200,5700,6100,6200,6300,6500,6900,6900,6900,6900,6900,43,0,5200.0,5009.592804649634,2298.891200000071,6883.75970000925,78429.55813953489
1741337529,2000,,Aggregated,3.714286,0.000000,5300,5800,6100,6200,6500,6600,6900,6900,6900,6900,6900,45,0,5300.0,5067.518557776606,2298.891200000071,6883.75970000925,78432.06666666667
1741337530,2200,,Aggregated,4.625000,0.000000,5300,5800,6100,6200,6500,6800,10000,10000,10000,10000,10000,46,0,5300.0,5175.921576085902,2298.891200000071,10054.05740000424,78430.41304347826
1741337531,2400,,Aggregated,4.500000,0.000000,5300,5900,6200,6300,6600,6900,10000,10000,10000,10000,10000,47,0,5300.0,5238.236121275708,2298.891200000071,10054.05740000424,78430.25531914894
1741337532,2600,,Aggregated,4.600000,0.000000,5500,6100,6300,6500,8100,10000,11000,11000,11000,11000,11000,51,2,5500.0,5629.288880391316,2298.891200000071,11244.902299993555,75352.1568627451
1741337533,2800,,Aggregated,4.600000,0.000000,5700,6300,6600,8100,10000,11000,11000,11000,11000,11000,11000,57,3,5700.0,6103.066298244685,2298.891200000071,11244.902299993555,74306.78947368421
1741337534,3000,,Aggregated,5.000000,0.100000,5900,6500,8300,9600,11000,12000,12000,12000,12000,12000,12000,62,5,5800.0,6502.6075258053515,2298.891200000071,12163.160700001754,72110.87096774194
1741337535,3200,,Aggregated,5.300000,0.200000,6100,6800,9600,10000,12000,12000,14000,15000,15000,15000,15000,66,7,6000.0,6935.468995453531,2298.891200000071,15342.368900004658,70123.75757575757
1741337536,3400,,Aggregated,4.700000,0.300000,6100,8100,9800,11000,12000,14000,15000,15000,15000,15000,15000,69,8,6100.0,7239.1915826078,2298.891200000071,15342.368900004658,69346.44927536232
1741337537,3600,,Aggregated,4.600000,0.600000,6300,9700,11000,12000,14000,15000,16000,17000,17000,17000,17000,76,13,6300.0,7943.887605262142,2298.891200000071,16956.77029999206,65027.40789473684
1741337538,3800,,Aggregated,4.100000,0.800000,6300,9700,11000,12000,14000,15000,16000,17000,17000,17000,17000,79,14,6300.0,8010.176025315547,2298.891200000071,16956.77029999206,64548.77215189873
1741337539,4000,,Aggregated,3.600000,1.200000,6600,10000,12000,13000,15000,15000,17000,19000,19000,19000,19000,84,17,6500.0,8415.345261904024,2298.891200000071,19187.933100009104,62574.892857142855
1741337540,4200,,Aggregated,3.700000,1.300000,7700,11000,13000,14000,15000,16000,19000,21000,21000,21000,21000,100,24,7400.0,8967.466598999308,1103.1596000102581,20762.371900011203,59620.57
1741337541,4400,,Aggregated,3.600000,1.500000,9500,12000,14000,14000,16000,18000,20000,21000,22000,22000,22000,113,28,9500.0,9620.374590264963,1103.1596000102581,21704.96680001088,59013.71681415929
1741337542,4600,,Aggregated,4.300000,1.800000,11000,14000,15000,17000,21000,21000,21000,22000,22000,22000,22000,136,48,11000.0,11271.73076397027,1103.1596000102581,21839.492600003723,50764.529411764706
1741337543,4800,,Aggregated,5.900000,2.600000,13000,18000,21000,21000,21000,21000,21000,22000,22000,22000,22000,173,85,13000.0,13272.769075722385,1103.1596000102581,21839.492600003723,39907.37572254335
1741337545,5000,,Aggregated,8.300000,4.700000,14000,21000,21000,21000,21000,21000,21000,22000,22000,22000,22000,195,106,14000.0,14026.576640512583,1103.1596000102581,21839.492600003723,35806.338461538464
1741337546,5200,,Aggregated,11.600000,8.200000,17000,21000,21000,21000,22000,22000,22000,22000,25000,25000,25000,250,155,17000.0,15410.797213999847,1103.1596000102581,25228.805000006105,29809.72
1741337547,5400,,Aggregated,13.000000,9.900000,17000,21000,21000,21000,22000,22000,23000,24000,25000,25000,25000,274,174,17000.0,15646.22284051088,1103.1596000102581,25228.805000006105,28630.16423357664
1741337548,5600,,Aggregated,15.300000,12.000000,18000,21000,21000,22000,22000,22000,23000,24000,25000,25000,25000,294,190,18000.0,15884.215723809448,1103.1596000102581,25228.805000006105,27749.632653061224
1741337549,5800,,Aggregated,19.700000,15.800000,19000,21000,21000,22000,22000,24000,24000,24000,25000,25000,25000,317,211,19000.0,16277.921708517291,1103.1596000102581,25228.805000006105,26231.145110410096
1741337550,6000,,Aggregated,21.000000,17.200000,21000,21000,22000,22000,24000,24000,25000,25000,26000,26000,26000,363,256,21000.0,17225.569028099064,1103.1596000102581,26180.251199999475,23123.04132231405
1741337551,6200,,Aggregated,22.200000,18.300000,21000,22000,23000,24000,24000,24000,25000,25000,31000,31000,31000,476,368,21000.0,18601.084409663657,1103.1596000102581,30990.09930000466,17798.258403361346
1741337552,6400,,Aggregated,24.000000,20.400000,22000,22000,23000,24000,24000,24000,25000,28000,33000,33000,33000,558,445,22000.0,19166.725741576993,1103.1596000102581,32746.4464000077,15884.91935483871
1741337553,6600,,Aggregated,29.600000,26.700000,22000,22000,23000,23000,24000,24000,26000,30000,33000,33000,33000,650,524,22000.0,19477.358078000165,1103.1596000102581,32746.4464000077,15205.503076923076
1741337554,6800,,Aggregated,37.700000,35.400000,22000,22000,23000,23000,24000,25000,27000,30000,33000,33000,33000,709,571,22000.0,19587.839443723784,1103.1596000102581,33475.281399994856,15267.370944992948
1741337555,7000,,Aggregated,44.200000,41.500000,22000,22000,23000,23000,24000,25000,27000,30000,33000,33000,33000,738,598,22000.0,19666.50448008149,1103.1596000102581,33475.281399994856,14880.111111111111
1741337556,7200,,Aggregated,49.500000,45.700000,22000,22000,23000,23000,24000,25000,28000,30000,33000,33000,33000,765,624,22000.0,19757.841266143983,1103.1596000102581,33475.281399994856,14457.639215686275
1741337557,7400,,Aggregated,52.500000,47.600000,22000,22000,23000,23000,24000,25000,30000,31000,36000,36000,36000,836,688,22000.0,20016.47532344524,1103.1596000102581,35508.92960000783,13886.988038277512
1741337559,7600,,Aggregated,53.200000,48.300000,22000,22000,23000,23000,24000,26000,30000,32000,36000,36000,36000,908,752,22000.0,20231.967092951854,1103.1596000102581,36052.48769999889,13476.25
